data,Brillanza,provvisorio,
01.06.2017 13:00,19.7,*,
02.06.2017 13:00,19.4,*,
03.06.2017 13:00,19.8,*,
04.06.2017 13:00,17.6,*,
05.06.2017 13:00,17.6,*,
06.06.2017 13:00,19.1,*,
07.06.2017 13:00,19.3,*,
08.06.2017 13:00,19.1,*,
09.06.2017 13:00,18.5,*,
10.06.2017 13:00,18.6,*,
11.06.2017 13:00,18.6,*,
12.06.2017 13:00,19.0,*,
13.06.2017 13:00,18.8,*,
14.06.2017 13:00,18.4,*,
15.06.2017 13:00,19.2,*,
16.06.2017 13:00,19.7,*,
17.06.2017 13:00,20.0,*,
18.06.2017 13:00,20.0,*,
19.06.2017 13:00,18.9,*,
20.06.2017 13:00,19.6,*,
21.06.2017 13:00,19.6,*,
22.06.2017 13:00,19.7,*,
23.06.2017 13:00,19.8,*,
24.06.2017 13:00,19.8,*,
25.06.2017 13:00,19.8,*,
26.06.2017 13:00,19.9,*,
27.06.2017 13:00,18.2,*,
28.06.2017 13:00,18.5,*,
29.06.2017 13:00,19.1,*,
30.06.2017 13:00,20.3,*,
